office_id,office_name,address1,address2,city,country,state_province,postal_code,primary_phone_number,fax_number,public_phone_name,public_phone_number,public_comments,general_email_address,wish_referral_email_address,contact_us_email_address,website_admin_email_address,media_contact_name,media_contact_title,media_contact_phone,media_contact_email,development_contact_name,development_contact_title,development_contact_phone,development_contact_fax,development_contact_email,website_url,twitter_account,twitter_handle,facebook_acct,facebook_admin_id,facebook_app_id,google_acct,validator_bbb_url,validator_charity_navigator_url,validator_charity_navigator_rating,feedburner_url,tax_id,email_marketing_code,donation_enabled,twitter_app_id,twitter_app_secret,facebook_app_secret,youtube_url,country_code,office_legal_name,utc,dst
000-000,Chapter Demo,1 Demonstration Drive,Suite 100,Phoenix,US,AZ,85016,602-555-9474,602-555-9475,NULL,NULL,NULL,noreply@wish.org,noreply@wish.org,noreply@wish.org,noreply@wish.org,Jane Q Media,Media Coordinator,602-555-9474,noreply@wish.org,John Q Development,Development Coordinator,602-555-9474,602-555-9475,noreply@wish.org,chapter-demo.wish.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,US,Chapter Demo,-7,N
001-000,Make-A-Wish? Arizona,711 East Northern Ave, ,Phoenix,,AZ,85020,(602) 395-9474 ,(602) 395-0722 ,Toll Free,(800) 324-9474 ,Serves the entire state of Arizona,info@wishaz.org,mtatz@wishaz.org,info@wishaz.org,hcostello@wishaz.org,Hollie  Costello,Director of PR & Marketing,(602) 343-9434 ,hcostello@wishaz.org,Karny  Stefan,Chief Development Officer,(602) 343-9440 ,(602) 395-0722 ,kstefan@wishaz.org,www.arizona.wish.org,http://twitter.com/makeawishaz,@makeawishaz,http://facebook.com/makeawishaz,1.01509E+16,,UA-10695845-2,NULL,NULL,NULL,,86-0409636,,1,,,,,NULL,Make-A-Wish Foundation? of Arizona,-7,N
003-000,Make-A-Wish? New Jersey,1347 Perrineville Road, ,Monroe Township,,NJ,8831,(609) 371-9474 ,(609) 371-8919 ,Toll Free,(800) 252-9474 ,Serves the entire state of New Jersey,jersey@wishnj.org,larce@wishnj.org,jersey@wishnj.org,jrostek@wishnj.org,Todd  Shellenberger,Vice President of Development,,tshellenberger@wishnj.org,Todd  Shellenberger,Vice President of Development,,(609) 371-8919 ,tshellenberger@wishnj.org,nj.wish.org,http://www.twitter.com/wishnj,@wishnj,http://www.facebook.com/wishnj,wishnj,1.26951E+14,UA-10695845-4,NULL,NULL,NULL,,22-2488495,,1,,,fd375b557dbf7f1c4e89b613f73d14d0,http://www.youtube.com/wishnj,NULL,Make-A-Wish Foundation? of New Jersey,-5,Y
005-000,"Make-A-Wish? Oregon, Inc.",2000 SW 1st Avenue,Suite 410,Portland,,OR,97201,(503) 292-2280 ,(503) 292-9423 ,Toll Free,(800) 934-9474 ,Serves the entire state of Oregon and Clark County in Washington State,magic@orwish.org,magic@orwish.org,magic@orwish.org,kara@orwish.org,Laila J Umpleby,CEO,(503) 802-9910 ,laila@orwish.org,Laila J Umpleby,CEO,(503) 802-9910 ,(503) 292-9423 ,laila@orwish.org,www.orwish.org,http://www.twitter.com/ORWish,@orwish,http://www.facebook.com/ORWish,facebook@orwish.org,,UA-10695845-6,NULL,NULL,NULL,,82-0385049,,1,,,,,NULL,"Make-A-Wish Foundation? of Oregon, Inc.",-8,Y
006-000,Make-A-Wish? North Texas,6655 Deseo, ,Irving,,TX,75039,(214) 496-9474 ,(214) 496-9475 ,Toll Free Texas Only,(888) 625-3294 ,Serves the northeastern and western part of the state of Texas,general@ntxwish.org,referrals@ntxwish.org,general@ntxwish.org,mszydloski@ntxwish.org,Megan  Szydloski,Communications Manager,(214) 496-5011 ,mszydloski@ntxwish.org,Ron  Sylvan,Senior VP of Marketing and Development,(214) 496-5003 ,(214) 496-9475 ,rsylvan@ntxwish.org,www.ntx.wish.org,http://www.twitter.com/makeawishnt,@makeawishnt,http://www.facebook.com/makeawishnt,makeawishnt,4.05835E+14,UA-10695845-7,NULL,NULL,NULL,,75-1889666,,1,  SCsHzZZAkV1pYfLDKbjUMA,  CG9jVacr0QvvAL34t7djSiJmeF0xGEazXWKhCVig,d308adffc33e17b5f066466a2bb35c6d,http://www.youtube.com/makeawishnorthtexas,NULL,Make-A-Wish Foundation? of North Texas,-6,Y
006-001,"Make-A-Wish? North Texas, Northeast Regional Office",215 Winchester,Suite 109,Tyler,,TX,75701,(903) 597-9474 ,(903) 597-9475 ,,,Serves 1/3 of the counties covered by the North Texas chapter east of Dallas with the exception of Leon county,general@ntxwish.org,referrals@ntxwish.org,general@ntxwish.org,mszydloski@ntxwish.org,Megan  Szydloski,Communications Manager,(214) 496-5011 ,mszydloski@ntxwish.org,Ron  Sylvan,Senior VP of Marketing and Development,(214) 496-5003 ,(214) 496-9475 ,rsylvan@ntxwish.org,www.ntx.wish.org,,,http://www.facebook.com/makeawishnt,makeawishnt,4.05835E+14,UA-10695845-7,NULL,NULL,NULL,,75-1889666,,1,,,,,NULL,"Make-A-Wish Foundation? of North Texas, Northeast Regional Office",-6,Y
006-002,"Make-A-Wish? North Texas, Southwest Regional Office",3509 Hulen Street,Suite 200,Fort Worth,,TX,76107,(817) 336-9474 ,(817) 336-9475 ,Toll Free,(888) 625-3294 ,Serves 1/3 of the counties covered by the North Texas chapter west of Dallas,general@ntxwish.org,referrals@ntxwish.org,general@ntxwish.org,mszydloski@ntxwish.org,Megan  Szydloski,Communications Manager,(214) 496-5011 ,mszydloski@ntxwish.org,Ron  Sylvan,Senior VP of Marketing and Development,(214) 496-5003 ,(214) 496-9475 ,rsylvan@ntxwish.org,www.ntx.wish.org,,,http://www.facebook.com/makeawishnt,makeawishnt,4.05835E+14,UA-10695845-7,NULL,NULL,NULL,,75-1889666,,1,,,,,NULL,"Make-A-Wish Foundation? of North Texas, Southwest Regional Office",-6,Y
006-003,"Make-A-Wish? North Texas, Midland Office",407 N. Big Spring,Suite 208,Midland,,TX,79701,(432) 683-9474 ,(432) 683-9441 ,Toll Free Texas Only,(888) 625-3294 , ,general@ntxwish.org,referrals@ntxwish.org,general@ntxwish.org,mszydloski@ntxwish.org,Megan  Szydloski,Communications Manager,(214) 496-5011 ,mszydloski@ntxwish.org,Ron  Sylvan,Senior VP of Marketing and Development,(214) 496-5003 ,(214) 496-9475 ,rsylvan@ntxwish.org,www.ntx.wish.org,,,http://www.facebook.com/makeawishnt,makeawishnt,4.05835E+14,UA-10695845-7,NULL,NULL,NULL,,75-1889666,,1,,,,,NULL,"Make-A-Wish Foundation? of North Texas, Midland Office",-6,Y
006-004,"Make-A-Wish? North Texas, El Paso Regional Office",PO Box 13045,,El Paso,,TX,79913,(915) 855-8700 ,(214) 496-9475 ,,,Serves El Paso county.,general@ntxwish.org,referrals@ntxwish.org,general@ntxwish.org,mszydloski@ntxwish.org,Megan  Szydloski,Communications Manager,(214) 496-5011 ,mszydloski@ntxwish.org,Ron  Sylvan,Senior VP of Marketing and Development,(214) 496-5003 ,(214) 496-9475 ,rsylvan@ntxwish.org,www.ntx.wish.org,,,http://www.facebook.com/makeawishnt,makeawishnt,4.05835E+14,UA-10695845-7,NULL,NULL,NULL,,75-1889666,,1,,,,,NULL,"Make-A-Wish Foundation? of North Texas, El Paso Regional Office",-7,Y
006-005,"Make-A-Wish? North Texas, Texas Plains Regional Office",411 South Fillmore,,Amarillo,,TX,79101,(806) 358-9943 ,(806) 358-9992 ,Toll Free Texas Only,(800) 242-7167 ,Serves the top 55 counties of the Texas Panhandle and Texas Plains.,general@ntxwish.org,referrals@ntxwish.org,general@ntxwish.org,mszydloski@ntxwish.org,Megan  Szydloski,Communications Manager,(214) 496-5011 ,mszydloski@ntxwish.org,Ron  Sylvan,Senior VP of Marketing and Development,(214) 496-5003 ,(214) 496-9475 ,rsylvan@ntxwish.org,www.ntx.wish.org,,,http://www.facebook.com/makeawishnt,makeawishnt,4.05835E+14,UA-10695845-7,NULL,NULL,NULL,,75-1889666,,1,,,,,NULL,"Make-A-Wish Foundation? of North Texas, Texas Plains Regional Office",-6,Y
